in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,"JOA: +"" this table ."
in,FALSE,FALSE,JOA: I can't fit my chair in .
in,FALSE,FALSE,"JOA: +"" there now push the table in ."
in,FALSE,FALSE,"CHI: +"" now I got a whole [!!] thing ."
out,FALSE,FALSE,JOA: &=laughs .
in,FALSE,TRUE,"CHI: +"" now <I got a whole thing> [>] to myself ."
in,TRUE,TRUE,JOA: <he fell down the stairs> [<] .
out,FALSE,FALSE,"CHI: +"" there ."
out,FALSE,FALSE,"CHI: +"" xxx ."
in,TRUE,FALSE,"JOA: +"" (o)kay I'm going to write a letter ."
in,FALSE,FALSE,"CHI: +"" I don't wanna write a letter ."
in,FALSE,TRUE,"CHI: +"" me hates writing letters ."
out,FALSE,FALSE,"JOA: +"" we hafta ."
out,FALSE,FALSE,"CHI: +"" no we don't ."
in,TRUE,FALSE,"JOA: +"" mommy said didn't you mommy ?"
out,FALSE,FALSE,"JOA: +"" yes (.) honey ."
in,FALSE,TRUE,"CHI: +"" well father didn't say for me ."
out,FALSE,FALSE,"JOA: +"" honey you hafta ."
out,FALSE,FALSE,"CHI: +"" no I don't wanna ."
out,FALSE,FALSE,"CHI: +"" okay ."
in,TRUE,FALSE,"CHI: +"" brother will hafta write two notes ."
in,FALSE,FALSE,CHI: one from sis and one from brother .
in,FALSE,FALSE,"JOA: +"" okay sister you hafta tell me what [/] what you want me to write though ."
in,FALSE,TRUE,"CHI: +"" no you can write anything you want on my paper ."
out,FALSE,FALSE,"CHI: +"" me don't care ."
out,FALSE,FALSE,"JOA: +"" okay ."
out,FALSE,FALSE,"JOA: +"" &-um dear (.) whoever +..."
out,FALSE,FALSE,"CHI: +"" no not dear whoever (.) dear +..."
out,FALSE,FALSE,"JOA: +"" dear ."
out,FALSE,FALSE,"CHI: +"" yeah ."
out,FALSE,FALSE,"JOA: +"" dear Nannie ."
out,FALSE,FALSE,"CHI: +"" yeah ."
out,FALSE,FALSE,JOA: &-um .
in,TRUE,FALSE,"CHI: +"" are we writing a letter to Nannie ?"
out,FALSE,FALSE,"JOA: +"" uhhuh ."
in,FALSE,FALSE,"CHI: +"" yeah I want dear Nannie ."
in,FALSE,FALSE,"JOA: +"" thank_you for (.) &-um (.) giving us (.) the desk ."
out,FALSE,FALSE,"CHI: +"" yeah ."
out,FALSE,FALSE,"JOA: +"" and +..."
out,FALSE,FALSE,"CHI: +"" the (.) bed ."
out,FALSE,FALSE,"JOA: +"" and +..."
out,FALSE,FALSE,"CHI: +"" and the <&~sh> [//] no and the rocking chair ."
out,FALSE,FALSE,"JOA: +"" and (.) the (.) dresser drawers ."
out,FALSE,FALSE,"CHI: +"" yeah ."
out,FALSE,FALSE,"JOA: +"" the two dresser drawers ."
in,FALSE,FALSE,"JOA: +"" but we don't know which one [/] one that goes (.) whichever way ."
out,FALSE,FALSE,CHI: &=laughs .
in,FALSE,FALSE,"CHI: +"" I think <it goes> [>] ."
in,FALSE,TRUE,"JOA: +"" <which way> [<] (.) it goes this way ."
out,FALSE,FALSE,CHI: xxx .
